enemy,age,male,country,cyber.event,cyber.crime,risk,pre.reason,post.reason,pre.conf,post.conf
0,39,1,United States,0.667,0.333,0.536,0.5,0,6,7
0,35,0,United Kingdom,0.833,0,0.679,0,0.5,5,3
0,48,0,United Kingdom,0.5,0.667,0.262,1,0,7,4
0,38,0,United Kingdom,0.5,0.333,0.274,0.333333333,0,7,4
0,45,1,United Kingdom,0.667,0.333,0.726,1,0.666666667,7,7
0,35,1,United Kingdom,0.833,0.333,0.214,0.666666667,0.5,7,4
0,63,0,United Kingdom,0.5,0.333,0.357,1,0.333333333,9,8
0,36,1,United States,0.5,0.333,0.548,1,1,10,8
0,53,1,United Kingdom,0.833,0.333,0.583,1,0.5,9,6
0,39,0,United States,0.833,0.667,0.81,0,1,8,8
0,33,0,United Kingdom,0.333,0.333,0.5,0.666666667,0,7,5
0,40,0,United Kingdom,0.667,0.333,0.321,0.166666667,0,8,4
0,35,0,United Kingdom,0.833,1,0.333,1,1,10,10
0,24,1,United States,0.667,0.667,0.679,0,0,9,4
0,31,0,United Kingdom,0.667,0.667,0.393,0.75,1,8,7
0,47,1,United States,0.833,0.333,0.179,0,1,5,5
0,26,1,United Kingdom,0.667,0.667,0.56,0.6,1,8,8
0,29,1,United States,0.833,0.667,0.714,0.5,1,7,5
0,63,0,United Kingdom,1,0.333,0.286,1,0,9,7
0,22,0,United Kingdom,0.833,0.333,0.679,0.5,1,8,8
0,30,1,United States,0.667,0.333,0.143,0.333333333,0.5,8,5
0,71,1,United States,0.833,1,0.464,0.5,0,8,3
0,39,0,United Kingdom,0.667,1,0.821,0.5,0.5,7,5
0,43,0,United Kingdom,0.667,0.333,0.226,0.25,0.5,7,7
0,28,0,United States,1,0.333,0.774,0,0.666666667,1,1
0,33,0,United Kingdom,0.667,0.667,0.583,1,1,6,5
0,43,0,United Kingdom,0.667,0,0.262,0.5,0,7,6
0,37,1,United Kingdom,1,0.667,0.69,0.6,0,8,5
0,48,0,United Kingdom,0.667,0,0.512,0.333333333,0.666666667,3,5
0,37,0,United Kingdom,0.5,0.667,0.476,1,0,7,5
0,35,0,United Kingdom,0.833,0.333,0.286,0.25,0.5,3,8
0,57,1,United Kingdom,1,0,0.643,1,0.5,10,7
0,29,1,United Kingdom,1,0.333,0.262,0,0.5,5,3
0,47,1,United States,0.833,0.667,0.202,1,0,7,6
0,61,0,United Kingdom,0.833,0.667,0.452,1,0,9,6
0,28,1,United States,0.667,0.333,0.417,0,1,3,7
0,40,1,United Kingdom,0.833,0,0.333,1,0,8,6
0,38,1,United States,1,1,0.726,1,1,8,4
0,42,1,United Kingdom,0.667,0.667,0.512,0,0,5,2
0,57,1,United Kingdom,1,0.333,0.286,1,1,10,7
0,29,0,United Kingdom,1,1,0.095,0,0,7,2
0,31,0,United Kingdom,1,0.333,0.44,1,1,8,8
0,28,1,United States,0.833,0.333,0.726,1,0,7,6
0,30,0,United Kingdom,0.667,1,0.702,1,0,10,5
0,26,0,United States,0.667,0.333,0.048,0.5,0.5,3,3
0,36,1,United Kingdom,1,0.333,0.5,0,1,7,4
0,45,1,United Kingdom,0.833,0.333,0.44,0.5,0.5,7,6
0,25,0,United Kingdom,0.167,0.333,0.44,1,0,7,4
0,25,1,United States,0.833,1,0.512,0,1,9,8
