pre.reason,post.reason
"Since Vadare have a history of this kind of attack, and since they have also attacked Idimore by other means, it seems likely -- but by no means certain -- that the cyber-attack is also their work. However, more investigation would be needed to be certain (or as close to certain as is possible); it's entirely possible that other actors are involved and are trying to blame Vadare for their own actions.","The CyberChaosCrew could, of course, be working for or with Vadare. We really do not have enough detailed information to come to any firm conclusion about who is responsible at this stage."
Previous behaviours that originated from Vadare point to this recent cyber-attack coming once again from Vadare.  The candidate supported by Vadare in the elections has been doing unusually well in the polls too.,"This new information sheds a lot of doubt on my original thoughts, and to accuse Vadare of this attack with the knowledge that the attack could have been caused by someone else could jeapardise relations with Vadare and the security of my country."
"The vignette lists Vadare as the culprit so I am simply accepting the vignette as the sole source of truth. It is a vignette, after all. If this was not a vignette, then there would be a need to make that determination after a reasoned and through investigation.","There are now two possible culprits so a through investigation would be needed. I would initially lean toward Vadare since the scale seems more like that of a state-sponsored attack, but it is a slight lean."
I am fairly confident that Vadare are behind the attack. I base this on their past behaviour. Supported by the fact they want to unseat the current government,I still find it kilely that vadare are behind the attack. I can understand a hacking group attacking government systems for fun. I do not believe they would endanger life by hacking air traffic control
I assume it came from Vadare because that is what the vignette said and the hostilities attributed to the country are inline with the cyber attack. It could have came from another government or an unofficial source in my country or Vadare or another country.,"The hacker group could be doing work for Vadare for money or another incentive, but most likely not. I would have some suspensions of Vadare but set my sites on the hacker group. "
"While historically Vadare has been known to use cyber-atacks, that does not mean a priori that they are the source of this attack without further evidence. Another party would rightly assume that Vadare would be blamed, and try to use that to their advantage.","New evidence has come to light, but that does not mean that Vadare is not involved directly or indirectly with the other group which may be leading the cyber-attack."
Vadare have a history of antagonistic behaviour. Vadare do not like the current Government so will do things like this to rock the boat. Vadare have a history of cyber attacks.,The extra information throws into doubt Vadares role in the cyber attacks. The extra information states that the protest group use cyber attacks. 
History and intelligence supports this view. It is in their interest and modus operandi to disrupt our Country. However no definitive proof available at this time.,Not directly linked to Valdane far as we know so probability reduces however their previous history still makes them a prime suspect.
it makes sense as this would be fitting to similar strategys vadare has completed in the past. ,"well because of the new information, perhaps it wasnt valdare"
"Vadare is known to be our greatest enemy. They have a policy toward our country that seeks to harm us using any means necessary including cyber attacks. Their president is currently publicly advocating that a far right candidate takes over our government. The president publicly says that our current government is illegitimate. Our air traffic control system is currently under cyber attacks. Considering everything, this strongly points toward Vadare being behind the cyber attack.","I think that it is a 50-50 chance that it is still Vadare. But I am willing to go up to 70%. It is highly possible that Vadare is using the hacker's software to hide their cyber-attack and have deniability. Also, based on the history of Vadare toward Idimore, I wouldn't put it past Vadare to use 3rd party actors as a shield."
"There seems very strong circumstantial Evidence that Vadere carried out this attack. They are very active politically. However there is no concrete evidence they actually did carry out this specific atttack,",There seems additional evidence that another group may have carried out the attack.
Some allusions have been made that the government in Vadare has used aggressive tactics in the past to facilitate their agenda. However the information is circumstantial at this point and not concrete. So i think there's reason to be suspicious but not accusatory. Disputes that have occurred between Vadare and Idiomum,"I feel less suspicious of Vadare now as this other organisation CCP has known to be involved in cyber attacks for fun that target Government computers, hence there is a possibility that this new organization could have used advanced technology to make it look like an attack from the Vadare government."
"It's a reasonable conclusion and the most likely, but it is possible it's a random attack or that someone is trying to present Valdare as the culprit","Valdare still has motivation and means, and could be trying to throw my people off track, or, be using the group to further their ends"
"Both Idimore and Vadare have been involved in a series of disputes in the past that are often initiated by Vadare. Vadare is known to pursue its interests using all possible means at its disposal that include, but are not limited to, trade embargoes, military intrusions across the border, and cyber-attacks. ","Both Idimore and Vadare have been involved in a series of disputes in the past that are often initiated by Vadare. Vadare is known to pursue its interests using all possible means at its disposal that include, but are not limited to, trade embargoes, military intrusions across the border, and cyber-attacks. "
They have participated in previous cyber attacks. They have also suggested that the current administration is not legitimate. They have an interested in the election. It would benefit them to disrupt it. ,"Assuming they cannot be hired, the purpose for which the cyber attack happened could have been purely for fun which would not match with what vadare had done previously. "
"The attack was focused only on your Country and specifically Government systems. This had a negative effect on thee efficient operation of the Country , and no blackmail or coercion has resulted. Vadare could Politically benefit from disruption of the election transferring from system dominated approach to a less secure paper based approach. They are supporting the opposition in the election. ","There could be a 'fun' motive for the attack based upon this new group. However there still could be benefit resulting from this attack to Vdare, so they can not be ruled out. Again there does not seem to be any monetary gain in the attack."
Based on their history with our country. They are known rivals who wish us ill will. They have a vested interest in the results of the election. Therefore they have the motive and also the means of carrying out the attack.,There is now another possible culprit in the mix  with previous form and this casts doubt on the previous supposition.
"Because they are questioning the current administration,.also because they support an opposition candidate so strongly, I would suspect that they are trying to bring down the current administration. They have also previously attacked my country.",The new suspected groups history better fits what has happened to my country.
Vadare have prior in this kind of thing and have often expressed far right views. ,They are still a suspicious group but can?t be held responsible unless proven. Other people can also hack just for fun whereas vadare have an agenda 
"The originating computers were in Vadare, they start most disputes and seek what they need by any means. These three factors would suggest they are likely to be involved in some way at least. ","It would be silly to not consider other possibilities, but given the computers were traced back to the neighbouring country I would still put a lot of weight on that rather than the new information. "
"I have read in the vignette that Vadare are highly likely to be responsible for the cyber attack. Unless I have proof for myself, I am not 100% confident that they attack came from there but feel that it is likely. There is evidence that the cyber attack came from government's computers within that area.",I have been given information that cyber attacks have occurred but the new information doesn't prove that the attacks came from Vadare. The new information tells me that the attacks have been occurring for 12 months but not where from. 
"Valdares background indicates that they have motive to disrupt Idimore to gain an advantage, whether political or economical.  Investigations also indicate that the cyber-attack originated from Valdare.  Valdare has historically initiated attacks on Idimore.",The new information indicates that the motive for the cyber attack may have been motivated for fun rather than any politic or economic gain.  The fact that the cyber group has previously undertaken hacking activities for fun and disruption slightly lessens the chances that the attack was politically driven.  More information is needed regarding the cyber group and their connections with the ruling authority of Vadare.
"I have never been into politics and world policies, but I know that many of these cyber attacks and finger pointing episodes in the news are predominantly false flags. All evidence in this scenario points to Vadare being the source of these attacks. However, given the conditioning I have undergone by simply watching and reading the news, I cannot be entirely sure without further evidence. ","Again, the same as the last. There is so much information not being presented that I have no idea how I could, as a leader of a country, in good conscience accuse another country of committing acts of war. Now, if they had a large supply of oil and other natural resources, I might be persuaded otherwise :) "
"Vadare has previously been involved in cyber attacks, plus it has used other means available (eg. limiting trade with an embargo) to get what it wants.  The current actions seem congruent with how Valdare has behaved in the past.","With forensic evidence, it seems there is a greater probability for other explanations for the cyber attack, and it could be possible this cyber attacking group was behind the most recent attack."
It seems likely as they have been hostile but there is not clear evidence to confirm this.,I don?t know where the hacking group are based or if they have been employed by Vadare's government 
"I am very confident in Vadare being responsible for the cyber-attack. This is because of their reckless and ruthless nature to gain what they desire. In addition, there have been many disputes with Vadare with them being the instigators, it would be like that this incident was a result of one of those disputes and that Vadare would seek to gain something from this cyber-attack.","I've decided to change my earlier assessment of Vadare's role in the cyber attack. This is mainly because of what the motive of the group behind the cyber-attack was. Fun, in this case wouldn't be beneficial to Vadare's interests as they would seek to gain something from the cyber attack that would benefit them for the long-term."
"They have a history of not getting along with my country.  In addition, they have been known to use any methods they can to affect our country.  They had the motive and the means which has me almost convinced that it was them.",I am a little less sure about this since there is another possibility.  I still think that it is Vadare since they have the motive.  I would keep an open mind though and have moved the slider slightly away from my confidence level before just because there is not a possible different reason though I would think that this other group would have taken credit.
"Vadare is known to execute cyber attacks like the ones the country suffered. Its leader has also shown support for a far-right leader in my country, during an election. Due to this, and past enmity between the two countries, it is highly probable Vadare initiated the attack.","The new evidence indicates a specific group was responsible. However, its methods are the same as those used by Vadare in the past. It's possible the hacktivists did this of their own volition, but it's also possible they were encouraged by Vadare."
I thought that Vadare were behind the attack as they appear to have a good motive for the attack. They have a past reputation of attacks on the other country. They also favoured one of the right wing candidates. They also have previously used whatever means necessary to get what they want.,I am slightly less sure now as this group have attacked other governments. Vadare could have paid the group to perform the attack as it appears to be to their advantage. The group could also have attacked alone and are just targetting different governments. I still belive it is most likely that the attack came from Vadare.
There is very little information on vadare's cyber warfare capabilities. All the evidence is circumstantial.,The new evidence seems to lessen the chance of the attacked being orchestrated by vadare. However they could have employed the group of hackers.
"It makes sense that Vadare would be behind the attacks as they haven't been shy about claiming responsibility for attacks in the past. They are actively trying to undermine the current administration and it wouldn't be far-fetched to expect that they would try and influence the vote. I only am 8/10 confident, however, because there is always the possibility of a third party having its own reasons to commit cyber attacks during the vote.","I moved my confidence down as the reason for not being 100% confident in the last question was that a third-party may have its own motives. With a tangible third party threat, it seems more likely it could be either Vadare or this new threat."
"I am confident that Vadare was behind the cyber attack, as it was traced back to computers operated by Vadare. The previous disputes between the two countries and Vadare's approach to those past problems mean that they will likely continue to attack my country. Furthermore, the president of Vadare has shown interest in the election and a strong preference for a specific candidate. ","Given the new information, it is still most likely that the attack came from Vadare as they have shown interest in the election, attacked in the past, and this specific attack has been traced back to their government's computers. However, because the tools used in the attack are also employed by a different cyber attack group, I cannot be as certain that the attack came from Vadare."
Vacate has been responsible for several previous attacks and for casting doubt on the happenings within my country. It is a neighbouring country and so would have reason to want to attack. ,I am less sure now as there is evidence that the attack may have come from a different group. This group has carried out previous cyber attacks for fun and the attack is in line with their previous ones. 
as it stated in the vignette - a professional security body found the attacks to be coming from computers based in that country. unless this is a false reading of signals or the agency is corrupt in someway and has ulterior motives. i suspect this is trying to draw a slight comparison with the US election recently.,Again the signals came from a geographical location within Vadare. so unless they are using a proxy this is the only logical conclusion. I am uncertain whether the question is asking if the attack had come from the country's government.
Vadare has been persistently attacking our nation for some time. There is evidence that the attack came from their servers. Additionally Vadare's leadership has questioned the legitimacy of our government is supporting a specific leader in our elections and essentially trying to influence the outcome of such election. ,"If this third party organization has the tools necessary to attack our servers that technology can be sold to foreign government. Vadare may have bought or stolen the technology to use against us. Or, consequently, this third party organization can in fact been a screen for the Vadare government's actions. "
"There's a strong motive for Valdare to conduct these attacks, and given that they are a sovereign country I think it's fair to assume that they also have the means and opportunity to conduct attacks. My reservations stem from the lack of actual evidence of Valdare's involvement","I am a little less confident as there is another possible culprit that also has means and opportunity, as well as the motive of 'fun'. I did not reduce my score further, however, as the presence of other suspects does not negate the factors that made Valdare a valid suspect. Equally, there is also no actual evidence that the hacktivists are responsible"
"The proof of involvement appears to stem from past issues with them influencing events within the country. I have not seen direct proof of this myself and have only heard what I have been told by others, therefore there is no way that I can be completely confident that they were the cause of the cyber attack. Although evidently I have my suspicions,","This lessens the idea that Vadare had any involvement in the attack, as I have been given no evidence that there is any link between this group and Vadare."
"That the attack came from within a government facility in Vadare is without doubt, our operatives are highly trained and skilled and have successfully traced the source. What we cannot assess is whether the source is government sponsored or from a devious malcontent.","Well we have some new information. There are strong signs of a hacking groups signature all over this cyber attack. We have no reason to believe that Valdare would try to fake such a scenario as it would likely backfire on themselves. No, this one is not down to Valdare even if they would like it to be."
Vadare has a history of aggressive and hostile attacks against Idimore. Vardare is promoting and supporting the election of a far right candidate in Idimore. Vardare to questioning the legitimacy of the current government of Idimore so is already involved in influencing the election. It seems reasonable to conclude that Verdure is behind the Cyber attack.,I think that further investigation would be needed but I think that in the context of Vardare already being involved in influencing the election and in light of their previous hostile actions it is likely they would be be involved in the Cyber attack. The onus would now be on Vardare to prove that it was the hackers and not them. Vardare have proved to be untrustworthy and may be suggesting it is this new group.
i can only believe what i have been told within the short story.  As i have no other information to indicate that the attack came from anywhere else therefore it must be what i have read,actually the new information gave no further evidence for where the attack has come from.
"I believe Vadare are responsible for the attack because of the history of problems and recent events. However, there is no definite evidence that Vignette are responsible I would not be completely sure they were responsible. As there does not  appear to be an alternative reason for the attack.","This evidence would increase my doubts as to whether Vadare's role because there is an alternative option for the problems.  However, based on the history between the 2, I would not entirely rule out Vadare's role. There is evidence to support the theory that Vadare is responsible but the group who inflict cyber problems for fun is now a reasonable option."
I would not be confident in incriminating Vadare being solely responsible for the cyber attack. There is still little actual evident to incriminate. I would want to investigate further to ensure I had evidence before conflict was caused.,Their appears to be more evidence to suggest that Vadare are not the only group that could responsible for the attack. With the evidence provided it appears it?s  More likely to be the other group that has caused the cyber attack as evidence suggest they have the ability and have been involved in similar events previously.
"The attack was traced back to government computers operated by Vadare.  Also, previous disputes have been initiated by Vadare in the past, and Vadare has used cyber attacks in the past.  So this all leads me to suspect this present cyber-attack came from Vadare.","There is now a chance the attack came from the hacktivist group CyberChaosCrew.  But due to the previous conflicts between the two countries it is still likely to have come from Vadare, but ever so less likely."
"The attack came from computers operated by Valdare. They may benefit financially from being able to control the elections, which is presumably easier to do with paper ballots. They have history of instigating aggressive actions against Idomere.","Another group who has history of interfering with government business, may have been involved. The techniques used in the cyber attack are the same as those employed by the hacktivist group. This casts doubt on the assertion that Valdare were involved."
The cyber attack was tracked back to computers in Vardare's government  It is most likely that the attack therefore came from them.  But it is possible to make a cyber attack look like it is coming from a location that it does not,Although the cyber attack appeared to come from Valdare's government...   If they have been the victims of a hack by CyberChaosCrew it is possible that this hack is responsible for the cyber attack and that the government of Valdare know nothing about it.   CyberChaosCrew are known to target their hacks towards big government systems.
"We not only have a history with this country that is less than stellar, but the attacks were traced back to their computers. This is a clear indicator to me, though with the knowledge that these facts can be faked, I am not confident enough to give it an evaluation of 10. ","I dropped one level, given the pattern and the fact that it indicates that this group may be involved. Their methods as well as their target attacks match the information in question. "
The attacks were traced back to Vadare government computers. I didn't see information about the reliability of the trace but I'm assuming it is accurate. The use of cyber attacks seems to be in keeping with what I know of the Vadare government's tactics and the present political climate.,The tools are in common with the hactivists but that's a bit vague. I'm now on the fence as the reliability of the trace is in question but the link to the hactivist group is not definitive.
There is motive for Vadare to engage in the cyber-attack.,"There is another group who could have instigated the cyber attack, thereby decreasing the chance that Vadare was responsible."
I think the president of vadare has a motive. He wants the far right candidate to be the president and this may influence the vote somehow. It is likely Vadare however it is not possible with the information given to say that for definite.,Vadare still has a motive. These actions could change or influence the result which would be favourable. However with this new information it makes me less confident that it was them for sure
the attack was traced back to Vadare by the security centre so it seems logical that 's where it came from.,"It now seems logical that Vadare was targeted by the hackers, making it appear like Vadare is to blame."
vadare have a history of planning and implementing attacks of us and i believe this cyber attack has been launched at a crucial time to try and discredit the current administration and to cause as much disruption as possible during the voting process.,i still believe its down to vadare for the same reasons as before and they also may have paid for this to be done.
Vidare has consistently engaged in immoral behavior. They have been transparent about their desires to upend order in my nation. No other entity seems like a likely culprit. ,"With the new information, it's hard to say who is involved. It seems equally likely to be the hacktivist group or Vildare. Can't say which is responsible. "
"The national security centre traced the attack back to vadare. Given the reliability of network analysis tools this makes the information very trustworthy. What is not clear is whether the Vadare government is involved, though given previous disruption it seems they have the motivation","The evidence for the use of certain tools does not strongly implicate the group made the attack, and the network analysis data still stands as the attack originated from Vadare. What is unknown is the location of the hacker group"
The NCSC traced it back there.  They are in dispute with us.   It seems more than likely ,Other people also do it.  The other people have been doing it before.   It might actually be them
Vadare is known to have previously embarked on hostile attacks against the country.   They are not limited in their resources or targets for acquiring control/ information.   There is strong evidence to suggest that the attack is coming directly from an IP address located there. ,It doesn't state where the CyberChaosCrew are based. They may have the ability to make things appear differently to the reality - ie they might be somewhere else not the suggested IP address.   However I would still be inclined to assume that the attack is coming from there given other facts preceeding this. More needs to materialise before deciding.
Research shows this. There is evidence that they have motive.,Still no evidence that Valdare are not involved. 
"Vadare has a history of causing problems, They oppose us and our government and this is the type of behavior that I would expect from them. Vadare seems to be a likely source of the cyber attack.","It would be like Vadare to use the cyber chaos crew to further their own agenda. It could have been the work of hackers alone, but I still strongly suspect Vadare. I won't count them out."
"The attack was traced back to Vadare which, if true, is good evidence. Vadare have a history of initiating attacks etc. They might want to meddle with the elections to get the candidate they want.",It does decrease how confident I am that valdare were responsible as there?s forensic evidence to support the fact another group might have done it. 
The attack is just too coincidental. It would give them the means to disrupt the system and give them an advantage. ,Although it is still possible that it could be an attack from Vadare this new information throws doubt on that assumption. Without further information we cannot be sure
"Well they are a neighboring country and they want to push their own candidate, there was no evidence given in that scenario to convince me that it came from somewhere else.","I am less confident because I do not know where this group of hackers is based, however I still believe it could have come from Vadare because they are kind of an enemy"
"The two countries have been having disputes and Vadare has been interfering in the politics of Idimore and will use any means necessary to get what they want, there is also evidence that traces the cyber attack to Vadare .","I am still sure it was Vadare as they seem intent on getting what the want, but have a slight doubt with the new evidence about Cyber Chaos Crew. "
The biggest evidence is that the cyber attack has been traced back to Vadare.    This evidence is supported by the fact that the countries are currently in a dispute and the president has directly questioned the administration of the country.,"Judging on the new evidence presented, there is nothing to tell me where the attack has come from. Although we know which group did the attack, it seems it was done by a group of individuals that aren't representing Vadare, they just do it for fun and could be located anywhere."
It is consistent with their previous behavior. They have expressed support for a candidate so it's likely they would want to interfere with the election. The history between the countries would make them the number 1 suspect. ,"I decided to change a little as it means they might be behind the attack. However, I still think it's most likely than Vadare did it because of our history and their previous behavior. Also they have expressed support for a candidate and would likely want to jeopardize the government. "
The National Cyber Security Center (NCSC) traced the attack back to government computers operated by your neighboring country.   I would presume that they had the intention to do so. Plus it seems that they are trying to rig the vote. I guess it would be in their best interest. ,"It seems that the information by the cybersecurity team could have been manipulated.   With that in mind, I cant say that I could condemn anyone without further proof.  I would need to re-analyze information and create a new hypothesis and maybe get some better statistics.  "
The computers have been traced back to the government in Vardare. There are tensions between the two countries. Vardare have shown support for one candidate in the election.,There is no motive for this group. Vardare have a stronger motive for this attack. There is no evidence against this group.
There is a history of conflict and cyber attacks previously. The source had been traced to Vadare government offices. Can't remember anymore!,The information states that a group are responsible for the cyber attack. They have a history of targeting government computers. 
The information given makes me unsure which end of the scale to commit to. I think there is definitely suggestion that Vadare are behind the attack but I would not be confident asserting that. ,I am less sure how that Vadare are behind the attack. With mention of a new group it complicates my thought process on this. 
It was traced back to government systems in Vadare.,"There has been reports of cyber attacks from the 3rd party group, but the previous info has already said it came from Vadare."
"As the director, I should be certain that I can confident in the sources within my own organisation. I would have spoken to members of the team who had made the findings. The systems that were in place should ensure that the information is accurate",This new evidence would call into question the assumption that Vadare are the only organisation with a motivation. Further investigation would be required to ascertain the source of the attack in order to give confident answer. Until this was certain I would not be confident to make any accusations.
"Although the computers were based in the country it's not clear whether it was nationals, government endorsed, a rebel group, or even own nationals operating from other country.",This new piece of info shows that it is not likely to be govt endorsed. Alhough the possibility that it is remains.
"I'm the director and if I know I have a competent, objective staff at the NCSC to trace where it came from, they'll give me the correct answer. I know the teams that are involved with the leaders that are trustworthy supervising the work. I can trust that they aren't tainting the information. And it's been concluded by teams working independently on where it's coming from.","I still think it's the neighboring country, Vadare. Though we haven't been attacked by the cybergroup before, they usually like to take credit when they do, just to show they can. So far we haven't received any messaging from them."
The attack has so far been traced back to vadare and no one else has been suspected ,New knowledge has come forward indicting another suspect group 
I am not completely certain that the cyber attack came from Vadare however if our system detected that it came from this location I would put some trust into it. I am still weary though as maybe a VPN or some other type of service could have been used during the cyber attack. I believe that further investigation should be done before any more larger announcements are made and that great caution shall be made so that any important information or the well being of others isn't jeopardized.  ,I am not knowledgeable on this cyber group so it doesn't effect my position. I believe that if I was given more information on the origins of this group I could make a better assessment however since I lack this my position shall stay the same. Also my lack of knowledge on Vadare and cyber attacks in general play a role in this decision as well.
There was no evidence that the attack came from them,the attack matches attacks perfomed before a certain group - they do not identify as from Vadare
the caual link between the proven and implied involvement of your  bad  neighbour is too coincidental to be an accident,There is now a level of uncertainty that could easi;ly cast boubt over any assumption made in trhe absence of clear proof
I think the vignette described the cyber attacks as being 'suspected to come from Vadare'. That doesn't imply a lot of evidence is available to confirm the suspicion,the evidence now seems to point to an independent organisation rather than  the government of the neighbouring country
"The cyber attack was presumed to originate from government computers in Vadare but the attack could simply have been designed to look like that.  A skilled IT person could easily arrange this.  A bit like in the UK salisbury attacks, always look past the obvious as to why someone would like it to appear the attack from Vadare.",There is no proof that the attack came from this group either.  Nothing was provided to make me change my evaluation.  It could be either or neither.
"Despite the seemingly overwhelming statement that the attack was linked to computers in Vadare it is not beyond reason to question the legitimacy of these claims if there was a third agent involved, it is also not without doubt that there could be a form of proxy or VPN that could be masking the real origin of the cyber attack.","My previous answer discussed the possibility of a third agent.  This could potentially point to the hacktivist group as they use similar tools and methods, this reduces my original confidence as if the group are to blame then it is much less of a state attack. "
It would be wrong to presume the attack came from Vadare. May be an inside job,There is still no reason to believe that. A date is involved. 
Our agency has identified a state controlled computer to have been directly responsible for the attack. However there is no clear motive and it is impossible to know at this stage whether their infrastructure has been compromised by an additional party wanting to implicate Vadare,It appears less likely that Vadare are involved in the attack as a third party has been identified who have previous form for committing this type of offence. It seems unlikely that this group of individuals have collaborated at a government level. The methods used are likely to be covert and may not have been detected by the government led agents
"As head of the cyber protection unit my staff have traced the attack back to computers in Vadare, and these are government computers.  If this is sanctioned by the Vadare government then they are acting in a hostile manner.  However,  given that cyber security is still a developing field there is a small possibility that either the government computers are being used by individuals without the government's knowledge or permission, in which case my country and Vadare are both under attack and need to work together, or that we have not fully traced the attack's source and the Vadare government computers are a smoke screen.  These options are probably less likely as we are a government organisation presumably with funding and expertise, and would notice if either was the case.",This new information increases the possibility that the Vadare government computers are under attack themselves or being used as cover for computers somewhere else with the trace misdirected.  We need to work together with the Vadare government to figure this out.
The NCSC operating as the security services for your country has informed you that the attack did indeed come from Vadare.  Any country can only rely on information from it's own security sources and there is no reason to suspect that the information is incorrect.  IT would not be helpful if the information from your own country's security services was then deemed not confident unless there were extraneous circumstances - but these are not detailed on the previous screen.,"Based on the new information, this is enough to create doubt in the confidence of the data that had previously thought to have come from the Security services.  The message you should now be conveying to the leader is that further investigation is required to analyse where the security attack did indeed come from.  Furthermore, there should be no accusations cast towards Vadare until more concrete details are obtained."
Although it says the cyber attacks came from government computers it Vadare. It may be that they were also hacked and that's what caused the attack on my country. There is nothing to suggest that the country of Vadare would have any reason to launch a cyber attack on us. ,I think it is the hacking group that has launched the cyber attack and for fun they have made it look like it was coming from Vadare. As well as the cyber attack this would also create negative conflict between the two neighbouring countries. 
The neighbouring country was mentioned in the vignette as to be responsible. This was identified by the organisation I work for after investigation. I am quite sure it was this country.,It did not state that further investigation had changed the source of the attack from Vadare. Only that it was also linked with a hacktivist group which could have been undertaken by the neighbouring country.
