pre.reason,post.reason
The vignette suggests Vadare has a history of cyber attacks and that they tend to be the orchestrator of most disputes between the two countries. The timing of this when Vadare are showing support for the new far right presidential candidate also points towards their responsibility ,"I have downgraded my answer slightly given the new information relating to the hacktivist group. However, I still feel Vadare should not be ruled out given the history between the two countries. I would also not rule out the possibility of Vadare working with or recruiting the hacktivists. "
Based on the evidence provided in the scenario I would feel slightly confident of the likelihood that Vadare was responsible for the cyber-attack. Their support of the far right candidate and their public support of them and their comment that they would go to whatever means necessary to see this candidate successful provide a basis with which to believe they would be responsible. There is no concrete evidence that Vadare was responsible for the attach and this would need to be made clear to the president when explaining the situation. I would need to investigate any causla links but also not restrict the investigation to Vadare being the only suspect of the attacks as it is likely that other organisations would have motive to commit this type of crime. Whilst Vadare has clear motive it would not be sufficient to deem them guilty based on the current level of evidence.,Given the new evidence I would be not very confident at all that Vadare  was responsible for the attack. There is a slight chance that the Vadare colluded with the organisation that took responsibility for the attack and this is why I did not provde the response of 1 in the question above. I decided to change my earlier assessment given the evidence that does not support the basis that Vadare was souly responsible for the attack. 
There is a long standing rivalry between our two countries with frequent attacks instigated by Vadare. A constant threat is posed by this country and they are openly hostile towards us. ,The attack may be sponsored by Vadare so I cannot rule out their partcipation. 
The fact that they are part of a far right uprising.,"The new information adds doubt, but there is still a likelihood that either Vadare are still behind it or this is a cover up. "
"  I would be angry, but I think that the attack must be verified, WHO made the attack",  I will not change my attitude because I learned that the attack was done by another group
I have no other information from any source that another country/source is another candidate foe the cyber-attack. A long-standing political feud may be a reasonable basis to draw inference. It may be possible that it is not Vadare. As a air-traffic control director I would not be a specialist in the veracity of the evidence from the cyber-attack.,Although we now have the name of the cyber-hacktivists it does not clarify which country they are from. Their own statement makes it sound like they are not acting upon their country's best interests but against governments in general. This does not guarantee that some individuals with knowledge around them who may have contributed to the success of the cyber-attack did not have a government-biased agenda.
The cyber attack seems to fit Vadare's modus operandi and is similar to previous attacks. They have an obvious motive in destabilising the current government by causing confusion and uncertainty amongst the general population though their attacks. They have shown support for a right wing candidate and seem to be pushing them as an alternative to a helpless liberal government. That there have been past attacks usually instigated by Vadare they seem to have an anatagonistic view towards my country and act aggresively. There is no other clear culprit behind the attacks. ,"The new information is interesting and provides some doubt on the current suggestion but doesn't neccesarily prove that Vadare isn't behind the attacks. Even if not directly behind the group, they could be recieving support (financial or otherwise) from Vadare. Even if there are no direct goals behind the groups actions the chaos that they are causing is beneficial to Vadare's overall aims of destabilising the country and creating confusion. "
Past attacks by vadare  Intention to disrupt government and support new candidate.    Of course I didn't score 10 as there is a chance the attack came from elsewhere but the likelihood is high.,There is still a chance the forensic analysis is wrong.    The cyber attack group may have worked with Vadare.    I would need more information to eliminate vadare from suspicion.
"Vadare has motivation to disrupt the elections as the president wants to influence in favour of his preferred candidate. Vadare has previous form for such activities. I am not completely confident however as there has not been a discussion of the evidence available to show it was Vadare, it seems very likely though.","Vadare still seem likely to have had some influence - the previous information does not say which country the hacktivist group come from. However, it does seem that this group could be acting independently from the country, particularly if they have form for this behaviour."
Vadare has a history of aggressive behaviour. Vadare openly supports one candidate over another in the election. A climate of fear makes people more likely to vote conservative/right-wing and hence the attack suits Vadare's preferences.,"The attack still benefits Vadare and they may have sponsored it. However, it will be difficult to prove that the attack originated from Vadare - the hacker group is unlikely to admit if they were acting under direction or off their own bat."
The attack has been traced to Vadare and they seem to have motive for this. They also are known to act in a dishonest manner so I would believe that they are responsible.,New information has come to light that it is not Vadare and is a group of non-affiliated hackers.
Cyber company tracing back to vadare  History of conflict between towns,Still have to take into consideration the previous information however have to take new information in. The new information leads us to believe that the new group could be responsible as they have done this recently
Its likely that they would be responsible . All avenues should be sought to investigate this before accusing them.Care should be taken not to over react at such a sensitive time. ,They could be involved with this group but it is unlikely.Further investigation would still be needed.No statement needs to be issued from the government at this point.
"Because the National cyber security centre said they traced the attack back to goverment computers from vadare. With national elections and  vadare being known in pursuing all means possible to military across border,trade tactics well as cyberattacks. And with the president vadare putting support behind a candidate for presidency he said questioned wether the administration in office was legitimate.My only doubt is with the cyber attack attacking air traffic systems.",Based on the new information that forensic analysis that group called cyber chaos crew was responsible for the attack and they have been known 12 months to target goverment systems. The blame on vadare is less confident than before. But small doubt because I do not know where cyber chaoes crew originate from.
I'm fairly confident due to the amount of history behind the relationship and seemingly the deterioration and escalation of negative actions Vadare has taken on Idimore. Also the president of Vadare is being quite blatant with his opinions on the current administration which would support them wanting to rail road a campaign and promote someone they believe to better.,"Although it's been identified that a hacktivist group is more than likely responsible, there is no evidence on the motivation of this group. The group could easily be working with Vadare government or even been employed by the government."
Based on the folowing facts: 1. ongoing trade dispue 2. military ops/incursions 3. ongoing cyber attacks 4. Interference/influence via the backing of the far-right candidate in elctions. Conclude that the attack on the ATC is down to Valdare but would need further evidence,If cyber forensics indicate it is actually the hacktivists then the original view must be reassessed. Therefore it becomes less likely that it was indeed Valdare. However Valdare could be sponsoring the hackitivst group so cannot be ruled out.
"The previous history of Vadare's behaviour would suggest they are the culprit, also, there support of a rival candidate. However, one cannot rule out other possibilities- another country or even elements within our own country.","If the evidence points to this new group, then that would seem the likely source. However, one cannot rule out the possibility that Vadare maybe using this group or doing the attacks themselves disguised as this group."
Vadare has engaged in cyber attacks previously and has indicated they have an interest in interfering in our elections to promote a far right candidate. Our security agency has traced the cyber attacks to Vadare.,"New information indicates the cyber attack was from an independent group of hackers. However, it is still possible that Vadare may have a connection with the attack and is using this group as a cover, so while I am less confident it is Vadare, I do not rule it out."
"There is significant previous activity from Vadare that would suggest that this is not above their level. They have shown willing to wave border laws and other national security measures and have, as such, shown open hostility towards my country. The elections and air traffic disruptions seem a likely target form Vadare","It is possible that Vadare have used this group as a scapegoat for their activity or may have them helped to infiltrate. That said, the hacktivist group have shown that they are capable of this type of activity before and could well be the only source of this attack"
Theres a possibility that its vadare since they are known for using cyber attacks. There are lots of other potential countries that it could be however so its not fair to say that its definitely Vadare. The fact that they are questioning the current administrations legitimacy and have just expressed interest for a far riht candidate seems like it is probably more than just a coincidence however. ,It says it came from the hacktavist group and the fact that they are actavists gives me no reason to think that the country would have arranged it. I wouldn't say that they definitely didnt though so I put the bar at a 2.
The evidence obtained shows that Vadare are the culprit and all the benefits of the attack are to them. ,I am not less sure as a group has taken responsibility. They could have been paid or encouraged by the other country. There is a good chance that this group has claimed responisbility but it did not actually carry out the attacks.
"If Vadare is supporting a different candidate and is not happy with our position at the moment, plus already being known to participate in these types of attacks, then I believe them to definitely be responsible for this attack.","A lot of hacker groups in society do these things for 'fun', however, a lot of these types of groups are also known to take 'credit' for things that they have not actually done. I find it 50/50 that Vadare may be letting someone else take credit for this."
Vadare has been involved in several disputes with Idimore and when i look at their past actions where they have used cyber attacks in the past it's clear that they have now target our governments computers. Their presidents support for the far right candidate in our upcoming election also strengthens my belief that they are behind the cyber attacks.,I am still not 100% certain that Vadare are not behind the attacks and i would need to investigate more to make sure that CyberChaosCrew were not told to do it by the Vadare government.
Vadare do anything they can to benefit themselves. The two countries are known rivals. There are no other suspects.,"Hacktivist groups are very prominent and often strike when unexpected. If it's been reported that they did it and there's sufficient proof, I would believe it."
"Vadare is known to use these attacks. Vadare has the motivation to undermine our stability. However, the possibility of other actors should not be excluded, including attempts to scapegoat Vadare.",The evidence is reportedly strong that CCC carried out the attacks. CCC looks like a politically independent group. However they may be backed by foreign powers.
"I am basing this assumption on the previous statement, Vadare has a history of attacks and so this would fit with this hostile relationship. ",We now have the identity of the perpetrators but do not know the relationship between them and Vadare. Are they from there? Or were they hired by Vadare to implement the attack. It still seems more likely than not that Vadare are responsible but the question is open to is this just a random attack   
"Vadare seems it would be an easy target to scapegoat for the attack, there may be other groups of people wanting to disrupt the elections within or outside of our own country. If Vadare really cared about getting a right wing candidate in then they wouldn't disrupt the election process, they would instead help that candidate push his agenda and achieve more media coverage, if however the feeling was they wanted to disrupt processes to weaken the country generally then I would be more sure they were the cause behind the attack. ","There are so many unknowns. A hacktavist group wouldn't normally leave trails so they may have wanted it to seem like Vadare was instructing them, however Vadare may have infrastructure to carry out the attack. So Vadare could still be behind the attack, although less certain than before."
"It sounds to me like a re-telling of the current USA/Russia situation - and I would not put my money on a 400lb guy in someone's basement over Russia. Having said that - there's a historical record of interference by Vadere in the country, so they would be the most likely suspect. I would also want to see proof before making a final decision though.","Confidence down - but having said that I would also want further information about this group of hackers and any possible links (were the hackers being manipulated in terms of targets chosen, etc)."
it was traced back their country. there is previous history of cyber-attacks there. they have been in a feud for a long time.,i believe this group is from vadare based on all the previous information. there is no reason to not think its vadare. there is no other eveidence
"A dare is looking to undermine the current administration. One way of doing this is by creating disruption to people’s daily lives, instilling fear and then promoting a more authoritarian way of dealing with the situation which is likely to be more black and white.",Because the statement was clear that it was a particular group. In the face of evidence I would not persist with my own view. However I would want to have very clear evidence.
"Vadare has a history of cyber attacks on Idimore in addition to other activities which have caused distress, embarrassment and disruption to Idimore. Vadare wants to overthrow the government and  install its own far right candidate to the Presidency. The strategy is to undermine the populaton's confidence in the current government and subvert the country.",The strategists at Vadare could well have utilised CyberchaosCrew's technical knowledge and experience to undertake this cyber attack. This may or may not have been with CyberchaosCrew's knowlege or cooperation. 
Information has been provided that the Cyber Attack originated from computers based in the country of Valdare.  In trying to 'prove' that these were controlled by citizens of Valdare I would point out the prevous history between our country and Valdare particularly highlighting the previous cyber attacks which have been proven as originating in this country.  I would have to mention the slight doubt that even due to previous history there is an outside chance that a new threat had entered the arena and was responsible for this latest attack; but would stress this was highly unlikely and I would be gathering enough hard evidence to report back as soon as possible to try and discount this anomoly.,I am changing my assessment as the highlighted group which has now been proven to be behind the latest cyber attack does not have links with Valdare stated; in fact there is no further information about links from this group to any country and therefore it is definate that further research and evidence gathering is needed.
Given the info provided it is more than likely that the attack came from Vadare given their political beliefs and also because of the timing of the incident.,I would feel that although the hack didn’t originate from Vadare directly it is feasible that Vadare could have contacted the hackers to provide the funds in purchasing the hackers.
The historical hostility from Vadare makes them the obvious candidate for the cyber attack. Their past behaviour suggests that this would be something that Vadare would carry out. Interfering in the voting process might also further their agenda in supporting the far-right candidate - though without further details I am unsure how.,"The CyberChaosCrew might be indigenous to Imidare (?). They sound generally anti-Government, be it Imidare or Vadare. Not sure."
Past disputes initiated by Vadare show they have previous form for starting conflict. Vadare had previously engaged in cyber attacks specifically. Vadare has questioned the legitimacy of the current government.These points make Vadare a likely suspect but without evidence we can not be entirely sure of their role.,"The new information challenges the assumption that Vadare were involved. However, there is no information on the motivation for the cyber attack and several parties could be involved. Without proof that they weren't involved, based on previous conflicts Vadare would remain a suspect until they can be ruled out."
"Given the history of relations, the political views of the country and the fact that someone from Vadare was trying to be elected, it appears a cyber attack would work by possibly affecting the results of the election.",The new information does not change my opinion. The group are probably operating from Vadare and I have no reason to believe otherwise.  It would also seem strange that they would do this for fun.
"Vadare is known to have carried out attacks involving cyber issues on previous occasions. An election would be a good opportunity to carry out another attack in order to disrupt proceedings and get its point across about the validity of the election, giving it a chance to promote the far-right candidate.","Although this group also has form for this sort of attack, I'm not convinced that it would want to cause quite the chaos that has been caused, despite its name. Vadare potentially has more to gain by the attack - or at least to cause problems for Idimore."
"Given the hostile nature of Vadare, it would fit the pattern of attacks that we have come to expect from them. We cannot rule out any other parties but it would be wise to keep an eye on Vadare.","It is unclear where this group originates from but it would still be too early to rule out Vadare in the attack. Many groups are known to claim attacks that they are not involved in and so we now have 2 suspects to focus on, leaving me completely split between the two."
"The evidence has been provided that geographically it came from there, but i have no evience who was responsible as i know data can be rerouted across borders, and even if it did originate in Vadare, I cannot be sure it is a Vadare citizen, let alone if it is Vadare government sanctioned attack. It could even be an agent provocotuer from my own country hoping to inrease tensions, or prevent electronic tampering by forcing lowtech election processes","Again the lines are blured, just because it seems to hae been a hackitivist group does not mean they were not influenced or infiltrated by other agencies. It does not mention whether the group is located/affiliated with either my country or Vadare"
"The history between the two areas would lead me to believe this, the fact they favour a particular candidate for power of this area.",The group could be based anywhere however the history between the two areas still arises suspicion
"Vadare would be the most likely as they have been meddling in the countries affairs via cyber attacks and air traffic etc. Although, there would need to be evidence to prove it",The activist group could equally be from Vadare or somewhere else. 
They are known for this type of thing  They are backing a right wing candidate  They may be trying g to fix the ballot in the candidates favour,The activist group may just be claiming for attention  vadare are known for this type of thing  They have more to gain
"Vadare are know for dirty trick including previous cyber attacks, this wold make it highly likely that they were behind the attack. Although to be absolutely sure you would need further investigation","While further information has shown that an activist group was behind the attack, it is quite possible they could have been paid or otherwise coerced into the attack by Vadare. So a full investigation would be required in order to find the truth"
"I would guess that the cyber attack came as a deliberate attempt to undermine the current government of my country, display their security flaws and weaknesses. The motive behind doing this would be, I would suppose, to attempt to sway the electorate towards a more right wing party, who tend to have harsher attitudes towards defense, funding for defense and nationalism. ","Under this new light, I would say perhaps the independent Cyber attack group have affiliations or their own political leanings and influences, but Vadare can not be blamed accurately or factually."
"There has been a series of disputes with Vadare in the past which gives credence to the idea that they may be responsible. The political statements of the neighbour also supports this view.  Though not stated, it is probable that the source of the interference can be traced but so far this has not been proved which is why I cannot score the probability higher than 7.  It is also possible that an internal candidate who fears losing the election has manipulated the system possibly with the help of Vadare.","I have changed my view as it would appear that it is a group independent of the Vadare government who have done this just for the fun of it.  Nevertheless, the group could still be from neighbouring Vadare and the Vadare government could have funded or encouraged the group."
I strongly believe the attack came from Valdare as it was traced back to the computers of the government of Valdare and they have a history of intrusions into the business of other countries.,It is still possible that the cyber attack came from Valdare itself as the hacking group - whilst known to infiltrate the computers of various governments for fun - have not claimed responsibility in this incident so it does not preclude Valdare from being the attacker. 
As mentioned Vadare has been involved in questionable activities against Vigenette in the past.  This would lead me to belive they are also involved this time around to ensure there preffered candidate is elected so they can purse there own agenda.,"Although a hacking group have been identified, they could be coordinating with valdare "
Due to the historical evidence of Vadare's attacks on Idimore it is highly likely that they are responsible for the present ongoing cyber attack. The fact that Vadare has openly supported a far right candidate in the elections and is questioning the legitimacy of the government is further proof that it is highly likely that Vadare is responsible for the current cyber attack.,"The new information shows that although Vadare is trying to meddle in the affairs of Idimore, it is not responsible for the cyber attack. The hacktavist group which shows no political affiliations, hacks governments for fun and has no bias towards supporting  Vadare in their attempts to disrupt Idimore's infrastructure and government."
"I think it certainly could be that the attack was perpetrated by Vadare, they seem to have some motive to carry out this attack. However, there is no conclusive evidence that they are to blame and when governing a country, diplomacy, especially when dealing with neighbours, is paramount. ",It was proven that the cyber attack originated from another group who are known to carry out these kind of attacks for entertainment. Therefore I no longer beleiev Vadare is likely to be to blame. 
"Vadare is renowned for using underhand tactics to get what it wants, and has a history of smearing its neighbours as well as conducting cyber attacks and interfering with potential presidential candidates for Idimore.  There appears to be no denial of said tactics.  As no other possible perpetrators are suggested, one can only assume with a high degree of confidence that Vadare is behind the current cyber attack.  It also has not denied it.","I still suspect Vadare is behind the attack as it has a history of cyber attacks on Idimore.  If it weren't responsible, it would be highly likely that they would deny such an attack.  However, now that a cyber-hacking group has claimed responsibility and said they did it  for fun,  then it slightly lessens my suspicions that it was carried out on behalf of Vadare."
"There has been a history of tensions with Vadare and an escalating crisis in the relationship. Whilst we cannot prove 100 per cent currently that the attack came from Vadare, the finger of suspicion is very much at them but I have rated it above average but not certain that they did it. The world is an increasingly hostile place and the threat may be coming from elsewhere  a state or a lone wolf individual. We need more evidence that it was Vadare. ",We do not yet know where the Cyber Attack Group come from. They sound like an activist organisation and potentially not from Vadare so we need more evidence. This is why I have rated it 50/50 - we just don't know at the moment. 
I have been told of this and they have history of this.  I would like more information and evidence.  I would like to speak to their head,Now there is more information coming about the attack.  I would like to know if it is reliable.  Or if it is from Vadare
I am confident Vadare are responsible for the cyber attack as I have faith in the NCSC and believe them when they say where the attack came from. Vadare are also known to have been in dispute with Idimore and are known to pursue their own interests at any cost. They are known to support a certain candidate in the upcoming election and therefore would have an interest in causing upset.,"I changed my earlier assessment as further analysis has shown that CyberChaosCrew are responsible. These people hack systems for fun, not because they are in dispute with the country involved. They are a known group who have carried out such attacks before so it is feasible they are responsible."
"Historical aggressive policies from Valdare, Support for a candidate in the election.The close proximity of the country",Another group claims responsibility but they could be operating under instructions from Vadare.
Vadare uses any means to achieve their goals. They are trying to get a far right candidate elected. They have been known to use cyber attacks,"New info says CCC did the attack. It doesn't say their nationality. Also says they attack for fun, not to achieve political Goals"
"Vignette focuses heavily on relationship between Idimore and Vadare without any suggestion of any other source for cyber-attack. Statements made regarding Vadare’s previous behaviours are not supported by evidence. Due to the nature of the attack, it is possible that the perpetrator is only a single individual not related to the government and has skills to make it appear the source is the Vadare government.","No mention of where the group responsible originates from so cannot say 100% that they are not from Vadare. This does not rule out possible collusion between the group and the government, but presenting an alternative suspect in the cyber attack inevitably lowers confidence in the guilt of one suspect."
"Vadare has been implicated in cyber-attacks on our country in the past and so this would lead me to believe that they are most likely the culprits of this current attack. The fact that they have expressed their support for an opposition party seems suspicious. In addition, the fact that they are interfering with our aviation systems shows that the culprit has motive to disrupt travel and even military services in an attempt to create confusion, affect the economy and to potentially catch the country unawares.",Vadare still has motive to carry out a cyber-attack but the new evidence does show that it may have come from another group. This group is reported to carry out cyber-attacks for fun but could still be in co-operation with Vadare. It is unclear at this point if Vadare could still be involved.
"It is possible that Vadare caused the attack, but this is only based on past behaviour. There is no certain evidence at present to prove that Vadare caused it. I would want to see more evidence to be certain.","The forensic evidence shows that the CyberChoasCrew caused the attack. It would appear that this is a group doing it for fun rather than political reasons. It is not clear from the evidence which country CyberChoasCrew is based in, therefore it is difficult to say whether the attack came from Vadare. However, given the evidence at present, it suggests that it was not initiated by Vadare's government."
There is s history of conflict and vadare have previously used this method as well as others to cause disruption. Also the far right candidate has caused further tension. ,I don't know what the new evidence actually is. Could it be organisation posing as vadare as it was originally traced back to government computers in their country? I'm split now.
Vadare has a vested interested in our elections as their president supports a far right candidate in our elections. They also have a history of cyper crime against us. Their proximity and access to cypercrime technology makes targetting us easier for them,"There is concrete forensic proof that this organisation were behind the attacks. There is no evidence that they come from Vadare, and appear to be an anti-government organisation so they would not be working with the vadare government. They appear to have attacked us for ‘fun’ rather than political motives"
"Information suggested it came from government computers. It could be a plot against them, though this would be more like if the source was a residential area rather than government.",A more likely suspect has been identified who particularly target the government. So they may seem more likely now.
It has been traced back to Vadare but it may not mean it is necessarily them,"It is possible for someone to hack another system to use it to hack something else, it would need to be investigated further to see it this is the root cause"
"The National Cyber Security Centre traced the attack to computers based in Vadare. This means the attackers were based in that country, although not necessarily citizens. It does not mean that Vadare sanctioned the attack, but the question asks did it come from Vadare. Of course, computers can be rerouted through numerous servers world wide but I would expect a National Security Centre to be fairly competent and therefore assume if they tracked the attack to there, that is where it came from.","Again, my assessment is that the attack came physically from Vadare, but as I said in the earlier answer, it does not suggest that it was sanctioned by the Vadarian Government or even performed by citizens of that country."
Because it appeared to originate from there and they appear to be hostile towards us.,"Because the hackers are known to hack for fun, not for political reasons. However, it was still traced back to Valdare, so the hacking group could have been made up of people from that country."
"Although these were traced to the country, VPNs and other such can be used to fake this. there is not enough evidence to confirm this .",a hacking group like this could very well mask their location and could be located anywhere. They would be likely to do this to stir up trouble.
"Whilst there are suspicions that this is the case, there is no evidence that proves it so I would rather be open minded than put the blame somewhere unfairly. ",Because the attack has been proven to come from a different Hacktivist group. That would mean that Vadare were not to blame and didn’t cause the attack. 
Because it said it was them in the post.,because it said that it was a activist group doing it for fun in the previous post. ChaosCrew or something similar.
"Unlike parts of this country, I believe our intelligence community when they provide compelling evidence a foreign power is out to get us. ","Based on the lack of detail, there's still reason to believe it was Vadare. Is the hacker group part of them or independent? Is there evidence they were put up to it by Vadare? "
Evidence shows that the cyber attack origined from Vadare according to the previous text. It is possible to have an attack from a neighbouring country so it increases the fact that the attack came from Vadare because the condition of a neighbouring country and political view can affect the other neighbouring countries. ,"It maybe an artificial information created by the Vadare to decrease the tension between countries. Additionally, the report says that this group is active for a long time. It is not too possible for a country couldn't solve this problem for that long time. When all possibilities taken into consideration, it is more likely that a fake information created by Vadare. But, I didn't choose 1 on the scale because trusting the neighbour country is a must to have a more relaxed environment. "
The tracing of the Cyber Attack was completed by the National Security Services. In my opinion this is a reliable source of information. The National Security Service says they traced it to Vadare therefore I trust them.,I understand from the new information that the hack came from the group described in the new information. However the new information doesn't give any new information saying that Vadare wasnt involved. Therefore I have not changed my mind
"The NCSC has localised the origin of the cyber attack to Vadare.  Given the extensive and ongoing nature of the attack, it is highly likely that the origin of the attack came from a source close to the nation of Idimire. The fact that the foci of the cyber interference is our democratic elections process and aerospace infrastructure, it seems evident that the culprit is another nation state.","The cyber attack has now been linked to a vigilante group.  It may still involve the nation state of Vadare, who are using the group as a conduit to interfere with our elections process.  Further analysis will be needed to confirm these suspicions."
"It's been tracked to that country, however,it could mean that someone else is making it look that way. ","I guess this has confirmed even more that it was a group trying to make it look like Vadare... however, they could be from / represent Vadare "
My team is well skilled and they have informed me of the source. However confidence is not complete because it has been stated to me that the attack my have been made to look as if it came from Vadare by another hostile country.,It now appears that the attack is from in independent group of hackers. They get their fun by stirring things up and imply that the source is a neighbouring country.
I believe they may not actually be involved in this.     There is  doubt due to people being able to change IP addresses and making it look as through they’re in a different place. Could be another party involved trying to create conflict between the two countries. Surely vadare’s air control would be affected if ours were to go wrong. ,For the same reasons as before. The changing of IP address.  The fact that’s it’s come from an actual group of hackers confirms my suspicions that’s it’s not vadare acting. 
"i would put it to the fact that the NCSC actually traced it back to actual governmant pc's in Valdare! and presume it is in there interests to attack our systems and in any investigation you follow who would benefit from the crime, in this case it is Valdare...",i have changed my opinion due to you releasing new information on the situation - had you put this in the prior statement i would have placed my marker right in the middle until a full investigation had been completed and all possibilities are eliminated - then i would reach a decision 
